"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Holiday Inn San Francisco - Golden Gateway","Nob Hill, San Francisco Show on map","₹ 8,006","1 night, 2 adults","Standard  Room","Multiple bed types","8.0","Very good","1,085 reviews","https://www.booking.com/hotel/us/holiday-inn-san-francisco-golden-gateway.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=18230001_251343373_0_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=18230001_251343373_0_2_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=18230001_251343373_0_2_0__10500&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"San Francisco Marriott Marquis Union Square","Union Square, San Francisco Show on map","₹ 18,223","1 night, 2 adults","King Room No View","1 extra-large double bed","8.6","Fabulous","2,705 reviews","https://www.booking.com/hotel/us/marriott-marquis-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=26287701_246425403_2_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=2&highlighted_blocks=26287701_246425403_2_2_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=26287701_246425403_2_2_0__23900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hotel Riu Plaza Fisherman's Wharf","Fisherman's Wharf, San Francisco Show on map","₹ 25,086","1 night, 2 adults","Deluxe Queen Room with Two Queen Beds","2 large double beds","8.4","Very good","428 reviews","https://www.booking.com/hotel/us/sheraton-fishermans-wharf.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5889127_256967043_0_42_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=3&highlighted_blocks=5889127_256967043_0_42_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=5889127_256967043_0_42_0__32901&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"The Pickwick Hotel San Francisco","Union Square, San Francisco Show on map","₹ 9,539","1 night, 2 adults","Standard King Room","1 extra-large double bed","7.3","Good","2,139 reviews","https://www.booking.com/hotel/us/the-pickwick-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5607703_190214860_0_0_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=4&highlighted_blocks=5607703_190214860_0_0_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=5607703_190214860_0_0_0__12510&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Nineteen 06 Mission","Mission, San Francisco Show on map","₹ 6,885","1 night, 2 adults","Standard Queen Room","1 large double bed","9.0","Superb","601 reviews","https://www.booking.com/hotel/us/1906-mission.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=109613201_256537162_2_1_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=5&highlighted_blocks=109613201_256537162_2_1_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=109613201_256537162_2_1_0__9030&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Days Inn by Wyndham San Francisco Downtown/Civic Cntr Area","Western Addition, San Francisco Show on map","₹ 9,912","1 night, 2 adults","Queen Room - Disability Access/Non-Smoking","1 large double bed","8.2","Very good","981 reviews","https://www.booking.com/hotel/us/civic-center.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=52271008_246100786_2_1_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=6&highlighted_blocks=52271008_246100786_2_1_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=52271008_246100786_2_1_0__13000&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Marriott Vacation Club Pulse, San Francisco","Fisherman's Wharf, San Francisco Show on map","₹ 14,411","1 night, 2 adults","Guest room, 1 King, No view","","8.4","Very good","1,252 reviews","https://www.booking.com/hotel/us/marriott-vacation-club-pulse.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=2986631_191394423_0_0_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=7&highlighted_blocks=2986631_191394423_0_0_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=2986631_191394423_0_0_0__18900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Beresford Arms","Union Square, San Francisco Show on map","₹ 7,244","1 night, 2 adults","Standard Queen Room","1 large double bed","8.2","Very good","4,225 reviews","https://www.booking.com/hotel/us/beresford-arms.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5877401_203403181_0_1_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=8&highlighted_blocks=5877401_203403181_0_1_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=5877401_203403181_0_1_0__9500&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hilton San Francisco Union Square","Union Square, San Francisco Show on map","₹ 12,123","1 night, 2 adults","One King Bed Mobility/Hearing Accessible - Roll-In Shower","1 extra-large double bed","8.0","Very good","3,569 reviews","https://www.booking.com/hotel/us/hilton-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=2985343_102714790_2_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=9&highlighted_blocks=2985343_102714790_2_2_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=2985343_102714790_2_2_0__15900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"King George","Union Square, San Francisco Show on map","₹ 12,123","1 night, 2 adults","Superior Queen Room","1 large double bed","8.3","Very good","1,487 reviews","https://www.booking.com/hotel/us/king-george.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5625710_238956971_0_0_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=10&highlighted_blocks=5625710_238956971_0_0_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=5625710_238956971_0_0_0__15900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
